rank,lon,lat,electrification_prob,local_suitability_score,region_mean_electrification_prob,served_population,est_households,daily_demand_kwh,solar_pv_kw,battery_kwh,topology,capex_usd
121,38.53250000000232,3.607499999999822,0.1977008283138275,0.6486026879267326,0.1323744803667068,616.1285085678101,137,20.55,4.981818181818182,38.53125,AC three-phase mini-grid,685000
122,36.50750000000128,0.267499999999894,0.2459241300821304,0.6154379194622813,0.1329226493835449,1348.7769088745117,300,45.0,10.909090909090908,84.375,AC three-phase mini-grid,1500000
123,39.65750000000289,1.432499999999869,0.2024539411067962,0.6108886796712696,0.1330742686986923,442.47710514068604,98,14.7,3.5636363636363635,27.562499999999996,AC three-phase mini-grid,490000
124,39.997500000003065,-1.5025000000000683,0.2240056842565536,0.7052990122680018,0.1337246298789978,889.260347366333,198,29.7,7.2,55.68749999999999,AC three-phase mini-grid,990000
125,38.00750000000205,0.3424999999998924,0.3166067004203796,0.6725745256973448,0.1339270174503326,4652.285915374756,1034,155.1,37.6,290.81249999999994,AC three-phase mini-grid,5170000
126,35.85750000000095,4.307499999999807,0.2665498256683349,0.625647683860974,0.1346306502819061,863.1308822631836,192,28.799999999999997,6.9818181818181815,53.99999999999999,AC three-phase mini-grid,960000
127,35.23250000000063,1.6074999999998654,0.2789333164691925,0.8192041810909432,0.1365172863006591,968.8501272201538,215,32.25,7.818181818181818,60.46875,AC three-phase mini-grid,1075000
128,35.55750000000079,0.9074999999998804,0.3003891408443451,0.7768948003935642,0.1368428468704223,2611.8145637512207,580,87.0,21.09090909090909,163.125,AC three-phase mini-grid,2900000
129,34.99750000000051,1.5074999999998675,0.1375422477722168,0.7697727562175709,0.1384850442409515,1323.0340099334717,294,44.1,10.690909090909091,82.6875,AC three-phase mini-grid,1470000
130,36.78250000000142,-2.5175000000000467,0.3229354619979858,0.493621080715634,0.1404163986444473,1183.994462966919,263,39.449999999999996,9.563636363636363,73.96874999999999,AC three-phase mini-grid,1315000
131,37.53250000000181,3.207499999999832,0.074166215956211,0.7503792408787588,0.1415911018848419,85.520192861557,19,2.85,0.6909090909090909,5.34375,DC cluster,95000
132,39.432500000002776,3.357499999999829,0.1551307141780853,0.5156093473033494,0.1420167088508606,4367.60258102417,971,145.65,35.30909090909091,273.09375,AC three-phase mini-grid,4855000
133,37.31250000000169,0.5324999999998883,0.1426240652799606,0.5330098332998827,0.143768772482872,132.0055603981018,29,4.35,1.0545454545454545,8.156249999999998,DC cluster,145000
134,38.082500000002085,2.282499999999851,0.3200893700122833,0.7017266913265504,0.1457986384630203,549.9861679077148,122,18.3,4.4363636363636365,34.3125,AC three-phase mini-grid,610000
135,34.7825000000004,1.1274999999998756,0.2967430651187897,0.7576309426739829,0.1465764492750167,4219.328563690186,938,140.7,34.10909090909091,263.81249999999994,AC three-phase mini-grid,4690000
136,40.02750000000308,-1.472500000000069,0.2582071721553802,0.5672138479136386,0.1471036225557327,2576.622999191284,573,85.95,20.836363636363636,161.15625,AC three-phase mini-grid,2865000
137,37.68250000000188,0.6074999999998867,0.2561981678009033,0.6367987399867432,0.1477986723184585,912.0970466136932,203,30.45,7.381818181818182,57.09374999999999,AC three-phase mini-grid,1015000
138,39.15750000000264,-4.602500000000002,0.2192175388336181,0.6235172577628643,0.1491502970457077,1797.4020652770996,399,59.849999999999994,14.509090909090908,112.21874999999999,AC three-phase mini-grid,1995000
139,38.02750000000206,-0.4675000000000903,0.2502947151660919,0.4416861570778638,0.1509513258934021,248.7922019958496,55,8.25,2.0,15.46875,AC three-phase mini-grid,275000
140,35.582500000000806,0.2324999999998947,0.2037047892808914,0.8579955205572364,0.1515893787145614,2434.659194946289,541,81.14999999999999,19.672727272727272,152.15624999999997,AC three-phase mini-grid,2705000
141,36.28250000000117,0.4574999999998899,0.2936446070671081,0.7397335412517069,0.1518266201019287,2622.156711578369,583,87.45,21.2,163.96875,AC three-phase mini-grid,2915000
142,37.93250000000201,-1.192500000000075,0.3408028781414032,0.5866489292340038,0.1518888622522354,1378.5024909973145,306,45.9,11.127272727272727,86.06249999999999,AC three-phase mini-grid,1530000
143,35.43250000000073,1.3324999999998712,0.2997072041034698,0.6613643588401749,0.1520195007324218,1825.7126274108887,406,60.9,14.763636363636364,114.18749999999999,AC three-phase mini-grid,2030000
144,35.032500000000525,-1.017500000000079,0.3095042705535888,0.8361293806067841,0.1547967791557312,3705.2033157348633,823,123.44999999999999,29.927272727272726,231.46874999999997,AC three-phase mini-grid,4115000
145,38.28250000000219,-3.402500000000028,0.3186665773391723,0.5865144972892903,0.156424269080162,2235.0856704711914,497,74.55,18.07272727272727,139.78124999999997,AC three-phase mini-grid,2485000
146,37.557500000001816,-1.517500000000068,0.3091465830802917,0.6520938253635338,0.156559869647026,1773.9426651000977,394,59.099999999999994,14.327272727272726,110.81249999999999,AC three-phase mini-grid,1970000
147,40.03250000000308,0.732499999999884,0.2694628238677978,0.5576183608278742,0.1574194282293319,400.75975036621094,89,13.35,3.2363636363636363,25.031249999999996,AC three-phase mini-grid,445000
148,37.88250000000198,-0.5925000000000877,0.3386907875537872,0.6110961602979081,0.1579267084598541,881.8580923080444,196,29.4,7.127272727272727,55.12499999999999,AC three-phase mini-grid,980000
